************************************************************************
* Output from:                                Mon May 13 10:32:46 2013 *
*                                                                      *
*        GENEHUNTER-MODSCORE - A modified version of GENEHUNTER        *
*                             (version 3.0)                            *
*                                                                      *
************************************************************************

'photo' is on: file is 'gh_9.out'

npl:2> load markers datain_9.06
Parsing Linkage marker data file...
marker rs6570234 has 2 allele(s)
marker rs4895527 has 2 allele(s)
marker rs4896370 has 2 allele(s)
marker rs9389586 has 2 allele(s)
marker rs6570242 has 2 allele(s)
marker rs9495144 has 2 allele(s)
marker rs4896381 has 2 allele(s)
marker rs10457675 has 2 allele(s)
marker rs911081 has 2 allele(s)
marker rs9399258 has 2 allele(s)
marker rs6933108 has 2 allele(s)
marker rs9403023 has 2 allele(s)
marker rs6918066 has 2 allele(s)
marker rs10872502 has 2 allele(s)
marker rs17304375 has 2 allele(s)
marker rs7770356 has 2 allele(s)
marker rs9321711 has 2 allele(s)
marker rs9376406 has 2 allele(s)
marker rs4243461 has 2 allele(s)
marker rs9373237 has 2 allele(s)
marker rs2058472 has 2 allele(s)
marker rs7766444 has 2 allele(s)
marker rs7759066 has 2 allele(s)
marker rs2057034 has 2 allele(s)
marker rs1936211 has 2 allele(s)
marker rs9403101 has 2 allele(s)
marker rs6570376 has 2 allele(s)
marker rs1028471 has 2 allele(s)
marker rs9321772 has 2 allele(s)
marker rs1856384 has 2 allele(s)
marker rs4385332 has 2 allele(s)
marker rs9376609 has 2 allele(s)
marker rs13201721 has 2 allele(s)
marker rs6913816 has 2 allele(s)
marker rs7758295 has 2 allele(s)
marker rs9385984 has 2 allele(s)
marker rs7765914 has 2 allele(s)
marker rs9376683 has 2 allele(s)
marker rs9403384 has 2 allele(s)
marker rs263156 has 2 allele(s)
marker rs9496445 has 2 allele(s)
marker rs197508 has 2 allele(s)
marker rs12205042 has 2 allele(s)
marker rs2095369 has 2 allele(s)
marker rs1041654 has 2 allele(s)
marker rs199248 has 2 allele(s)
marker rs7774011 has 2 allele(s)
marker rs3804528 has 2 allele(s)
marker rs7740214 has 2 allele(s)
marker rs1570350 has 2 allele(s)
marker rs9376748 has 2 allele(s)
marker rs1038390 has 2 allele(s)
marker rs7745861 has 2 allele(s)
marker rs9403515 has 2 allele(s)
marker rs9403523 has 2 allele(s)
marker rs1015341 has 2 allele(s)
marker rs9403527 has 2 allele(s)
marker rs7742964 has 2 allele(s)
marker rs12197107 has 2 allele(s)
marker rs9403539 has 2 allele(s)
marker rs9321951 has 2 allele(s)
marker rs6929066 has 2 allele(s)
marker rs12208207 has 2 allele(s)
marker rs4896703 has 2 allele(s)
marker rs4896706 has 2 allele(s)
marker rs636408 has 2 allele(s)
marker rs6904422 has 2 allele(s)
marker rs4895642 has 2 allele(s)
marker rs9496982 has 2 allele(s)
marker rs10434890 has 2 allele(s)
marker rs9321987 has 2 allele(s)
marker rs2297846 has 2 allele(s)
marker rs2050719 has 2 allele(s)
marker rs6913592 has 2 allele(s)
marker rs649933 has 2 allele(s)
marker rs7768714 has 2 allele(s)
marker rs2038473 has 2 allele(s)
marker rs581129 has 2 allele(s)
marker rs6910793 has 2 allele(s)
marker rs4896857 has 2 allele(s)
marker rs56566 has 2 allele(s)
marker rs362856 has 2 allele(s)
marker rs9497566 has 2 allele(s)
marker rs9386161 has 2 allele(s)
marker rs973572 has 2 allele(s)
marker rs6911012 has 2 allele(s)
marker rs9377026 has 2 allele(s)
marker rs17551120 has 2 allele(s)
marker rs12665649 has 2 allele(s)
marker rs9485147 has 2 allele(s)
marker rs649544 has 2 allele(s)
marker rs642527 has 2 allele(s)
marker rs634753 has 2 allele(s)
marker rs9403860 has 2 allele(s)
marker rs844569 has 2 allele(s)
marker rs6935781 has 2 allele(s)
marker rs9390491 has 2 allele(s)
marker rs6914269 has 2 allele(s)
marker rs7755031 has 2 allele(s)
marker rs3861426 has 2 allele(s)
marker rs6904457 has 2 allele(s)
marker rs1404484 has 2 allele(s)
marker rs7765680 has 2 allele(s)
marker rs6920454 has 2 allele(s)
marker rs9390549 has 2 allele(s)
marker rs6918668 has 2 allele(s)
marker rs4537167 has 2 allele(s)
marker rs17635342 has 2 allele(s)
marker rs9322150 has 2 allele(s)
marker rs1883625 has 2 allele(s)
marker rs11751252 has 2 allele(s)
marker rs8641 has 2 allele(s)
marker rs208699 has 2 allele(s)
marker rs1570363 has 2 allele(s)
marker rs7356870 has 2 allele(s)
marker rs9498147 has 2 allele(s)
marker rs9390610 has 2 allele(s)
marker rs900475 has 2 allele(s)
marker rs9485337 has 2 allele(s)
marker rs12192351 has 2 allele(s)
marker rs11155607 has 2 allele(s)
marker rs9386240 has 2 allele(s)
marker rs2500548 has 2 allele(s)
marker rs7761698 has 2 allele(s)
marker rs7766009 has 2 allele(s)
marker rs4897097 has 2 allele(s)
marker rs610707 has 2 allele(s)
marker rs2179367 has 2 allele(s)
marker rs4897127 has 2 allele(s)
marker rs6925151 has 2 allele(s)
marker rs9479184 has 2 allele(s)
marker rs4870174 has 2 allele(s)
marker rs9383633 has 2 allele(s)
marker rs789830 has 2 allele(s)
marker rs7743003 has 2 allele(s)
marker rs6557340 has 2 allele(s)
marker rs9397722 has 2 allele(s)
marker rs926930 has 2 allele(s)
marker rs12212378 has 2 allele(s)
marker rs9397821 has 2 allele(s)
marker rs1890522 has 2 allele(s)
marker rs688015 has 2 allele(s)
marker rs671675 has 2 allele(s)
marker rs652800 has 2 allele(s)
marker rs7751747 has 2 allele(s)
marker rs9480467 has 2 allele(s)
marker rs1492576 has 2 allele(s)
marker rs6904488 has 2 allele(s)
marker rs6557548 has 2 allele(s)
marker rs7738394 has 2 allele(s)
marker rs4449641 has 2 allele(s)
marker rs13198996 has 2 allele(s)
marker rs9383848 has 2 allele(s)
marker rs712213 has 2 allele(s)
marker rs6917461 has 2 allele(s)
marker rs2073063 has 2 allele(s)
marker rs803420 has 2 allele(s)
marker rs1474787 has 2 allele(s)
marker rs803470 has 2 allele(s)
marker rs505358 has 2 allele(s)
marker rs6914261 has 2 allele(s)
marker rs4869988 has 2 allele(s)
marker rs6924562 has 2 allele(s)
marker rs1535831 has 2 allele(s)
marker rs6557123 has 2 allele(s)
marker rs9383562 has 2 allele(s)
marker rs2294794 has 2 allele(s)
marker rs12210237 has 2 allele(s)
marker rs222575 has 2 allele(s)
marker rs6904364 has 2 allele(s)
marker rs17054385 has 2 allele(s)
marker rs9397433 has 2 allele(s)
marker rs7752591 has 2 allele(s)
marker rs3020333 has 2 allele(s)
marker rs1285057 has 2 allele(s)
marker rs17081685 has 2 allele(s)
marker rs11155819 has 2 allele(s)
marker rs6912184 has 2 allele(s)
marker rs9340944 has 2 allele(s)
marker rs2813544 has 2 allele(s)
marker rs9397085 has 2 allele(s)
marker rs2813497 has 2 allele(s)
marker rs6900213 has 2 allele(s)
marker rs9397493 has 2 allele(s)
marker rs1951925 has 2 allele(s)
marker rs9397095 has 2 allele(s)
marker rs9478320 has 2 allele(s)
marker rs9942542 has 2 allele(s)
marker rs9383626 has 2 allele(s)
marker rs1028651 has 2 allele(s)
marker rs680314 has 2 allele(s)
marker rs612400 has 2 allele(s)
marker rs13205491 has 2 allele(s)
marker rs874302 has 2 allele(s)
marker rs1292829 has 2 allele(s)
marker rs1281958 has 2 allele(s)
marker rs12663474 has 2 allele(s)
marker rs6929221 has 2 allele(s)
marker rs9397597 has 2 allele(s)
marker rs2185276 has 2 allele(s)
sex averaged recombination frequencies are being used
Map distances have been interpreted as recombination fractions.
In the following, genetic distances will be given in cM units.

200 markers read from Linkage marker data file (last one = rs2185276)
The selected markers and their positions can be found in the file
'user_markers_in_map'.

npl:3> use
Current map (200 markers):
rs6570234 0.0748 rs4895527 0.2008 rs4896370 0.0877 rs9389586 0.0532 rs6570242 0.0548 rs9495144 0.1120 rs4896381 0.1119 rs10457675 0.0557 rs911081 0.0698 rs9399258 0.0572 rs6933108 0.0577 rs9403023 0.0786 rs6918066 0.0632 rs10872502 0.0760 rs17304375 0.1736 rs7770356 0.1664 rs9321711 0.0799 rs9376406 0.3557 rs4243461 0.2615 rs9373237 0.0533 rs2058472 0.0780 rs7766444 0.0969 rs7759066 0.0575 rs2057034 0.0571 rs1936211 0.0515 rs9403101 0.0588 rs6570376 0.0500 rs1028471 0.0504 rs9321772 0.0507
rs1856384 0.0551 rs4385332 0.0504 rs9376609 0.0519 rs13201721 0.0858 rs6913816 0.0749 rs7758295 0.2426 rs9385984 0.0524 rs7765914 0.0974 rs9376683 0.1169 rs9403384 0.1305 rs263156 0.1269 rs9496445 0.1760 rs197508 0.1114 rs12205042 0.0597 rs2095369 0.0521 rs1041654 0.0613 rs199248 0.0850 rs7774011 0.0554 rs3804528 0.0897 rs7740214 0.0503 rs1570350 0.2358 rs9376748 0.0558 rs1038390 0.0542 rs7745861 0.0531 rs9403515 0.0517 rs9403523 0.0677 rs1015341 0.1074 rs9403527 0.0897 rs7742964 0.0781
rs12197107 0.0523 rs9403539 0.1616 rs9321951 0.0596 rs6929066 0.0681 rs12208207 0.0646 rs4896703 0.0843 rs4896706 0.1541 rs636408 0.0511 rs6904422 0.0711 rs4895642 0.3197 rs9496982 0.0507 rs10434890 0.0614 rs9321987 0.0511 rs2297846 0.0574 rs2050719 0.1147 rs6913592 0.0559 rs649933 0.1374 rs7768714 0.0512 rs2038473 0.0521 rs581129 0.0826 rs6910793 0.0622 rs4896857 0.1073 rs56566 0.0519 rs362856 0.0538 rs9497566 0.0649 rs9386161 0.0813 rs973572 0.1706 rs6911012 0.1150 rs9377026 0.0578 rs17551120
0.0851 rs12665649 0.0547 rs9485147 0.0867 rs649544 0.0678 rs642527 0.0579 rs634753 0.2480 rs9403860 0.0523 rs844569 0.0500 rs6935781 0.0700 rs9390491 0.0949 rs6914269 0.0554 rs7755031 0.1777 rs3861426 0.0611 rs6904457 0.0506 rs1404484 0.1119 rs7765680 0.1658 rs6920454 0.1189 rs9390549 0.0803 rs6918668 0.0956 rs4537167 0.0800 rs17635342 0.1234 rs9322150 0.1120 rs1883625 0.1080 rs11751252 0.1294 rs8641 0.0868 rs208699 0.2376 rs1570363 0.0607 rs7356870 0.1014 rs9498147 0.1206 rs9390610 0.0617
