************************************************************************
* Output from:                                Mon May 13 10:32:36 2013 *
*                                                                      *
*        GENEHUNTER-MODSCORE - A modified version of GENEHUNTER        *
*                             (version 3.0)                            *
*                                                                      *
************************************************************************

'photo' is on: file is 'gh_4.out'

npl:2> load markers datain_4.06
Parsing Linkage marker data file...
marker rs9394437 has 2 allele(s)
marker rs2894413 has 2 allele(s)
marker rs9380691 has 2 allele(s)
marker rs6926735 has 2 allele(s)
marker rs6925749 has 2 allele(s)
marker rs876796 has 2 allele(s)
marker rs742787 has 2 allele(s)
marker rs10456457 has 2 allele(s)
marker rs7776025 has 2 allele(s)
marker rs12215707 has 2 allele(s)
marker rs9394492 has 2 allele(s)
marker rs12525647 has 2 allele(s)
marker rs1623375 has 2 allele(s)
marker rs1678677 has 2 allele(s)
marker rs9349103 has 2 allele(s)
marker rs10947767 has 2 allele(s)
marker rs7341356 has 2 allele(s)
marker rs4254984 has 2 allele(s)
marker rs7773754 has 2 allele(s)
marker rs751933 has 2 allele(s)
marker rs6458102 has 2 allele(s)
marker rs1651106 has 2 allele(s)
marker rs2395718 has 2 allele(s)
marker rs11756091 has 2 allele(s)
marker rs6458110 has 2 allele(s)
marker rs9471076 has 2 allele(s)
marker rs6899860 has 2 allele(s)
marker rs9394591 has 2 allele(s)
marker rs9471112 has 2 allele(s)
marker rs303678 has 2 allele(s)
marker rs417096 has 2 allele(s)
marker rs6937133 has 2 allele(s)
marker rs9462580 has 2 allele(s)
marker rs2475506 has 2 allele(s)
marker rs3008833 has 2 allele(s)
marker rs7746227 has 2 allele(s)
marker rs9471290 has 2 allele(s)
marker rs10498748 has 2 allele(s)
marker rs12664614 has 2 allele(s)
marker rs1433734 has 2 allele(s)
marker rs9394699 has 2 allele(s)
marker rs1433742 has 2 allele(s)
marker rs9369215 has 2 allele(s)
marker rs7765378 has 2 allele(s)
marker rs7752740 has 2 allele(s)
marker rs9369228 has 2 allele(s)
marker rs9367079 has 2 allele(s)
marker rs962390 has 2 allele(s)
marker rs9394740 has 2 allele(s)
marker rs7746902 has 2 allele(s)
marker rs714051 has 2 allele(s)
marker rs6915083 has 2 allele(s)
marker rs3807040 has 2 allele(s)
marker rs2234246 has 2 allele(s)
marker rs9367104 has 2 allele(s)
marker rs6922617 has 2 allele(s)
marker rs9357360 has 2 allele(s)
marker rs596917 has 2 allele(s)
marker rs766389 has 2 allele(s)
marker rs12527287 has 2 allele(s)
marker rs2496639 has 2 allele(s)
marker rs7742368 has 2 allele(s)
marker rs2495239 has 2 allele(s)
marker rs2395779 has 2 allele(s)
marker rs1028818 has 2 allele(s)
marker rs3789208 has 2 allele(s)
marker rs1474762 has 2 allele(s)
marker rs1011100 has 2 allele(s)
marker rs7756525 has 2 allele(s)
marker rs6912200 has 2 allele(s)
marker rs9394831 has 2 allele(s)
marker rs6921368 has 2 allele(s)
marker rs4554318 has 2 allele(s)
marker rs2492927 has 2 allele(s)
marker rs7749023 has 2 allele(s)
marker rs9471779 has 2 allele(s)
marker rs17702178 has 2 allele(s)
marker rs2492942 has 2 allele(s)
marker rs6899392 has 2 allele(s)
marker rs9349222 has 2 allele(s)
marker rs9471815 has 2 allele(s)
marker rs3800289 has 2 allele(s)
marker rs9471831 has 2 allele(s)
marker rs4711717 has 2 allele(s)
marker rs550668 has 2 allele(s)
marker rs1038890 has 2 allele(s)
marker rs7768349 has 2 allele(s)
marker rs6906363 has 2 allele(s)
marker rs12210447 has 2 allele(s)
marker rs2894478 has 2 allele(s)
marker rs7764865 has 2 allele(s)
marker rs4714652 has 2 allele(s)
marker rs2841639 has 2 allele(s)
marker rs4714674 has 2 allele(s)
marker rs2254303 has 2 allele(s)
marker rs9472064 has 2 allele(s)
marker rs16869037 has 2 allele(s)
marker rs9472114 has 2 allele(s)
marker rs699946 has 2 allele(s)
marker rs6900017 has 2 allele(s)
marker rs4507587 has 2 allele(s)
marker rs6458350 has 2 allele(s)
marker rs881858 has 2 allele(s)
marker rs2148251 has 2 allele(s)
marker rs9369430 has 2 allele(s)
marker rs1003167 has 2 allele(s)
marker rs1776721 has 2 allele(s)
marker rs865585 has 2 allele(s)
