************************************************************************
* Output from:                                Mon May 13 10:32:42 2013 *
*                                                                      *
*        GENEHUNTER-MODSCORE - A modified version of GENEHUNTER        *
*                             (version 3.0)                            *
*                                                                      *
************************************************************************

'photo' is on: file is 'gh_7.out'

npl:2> load markers datain_7.06
Parsing Linkage marker data file...
marker rs2782908 has 2 allele(s)
marker rs3849205 has 2 allele(s)
marker rs6909610 has 2 allele(s)
marker rs4334996 has 2 allele(s)
marker rs6928093 has 2 allele(s)
marker rs7769811 has 2 allele(s)
marker rs9390890 has 2 allele(s)
marker rs7761003 has 2 allele(s)
marker rs9404303 has 2 allele(s)
marker rs12205502 has 2 allele(s)
marker rs2742702 has 2 allele(s)
marker rs17624545 has 2 allele(s)
marker rs2506754 has 2 allele(s)
marker rs9404464 has 2 allele(s)
marker rs4335016 has 2 allele(s)
marker rs13362595 has 2 allele(s)
marker rs2205746 has 2 allele(s)
marker rs859980 has 2 allele(s)
marker rs12203539 has 2 allele(s)
marker rs6942087 has 2 allele(s)
marker rs4946463 has 2 allele(s)
marker rs450996 has 2 allele(s)
marker rs6910034 has 2 allele(s)
marker rs2153127 has 2 allele(s)
marker rs221626 has 2 allele(s)
marker rs768781 has 2 allele(s)
marker rs1765924 has 2 allele(s)
marker rs1189924 has 2 allele(s)
marker rs1617445 has 2 allele(s)
marker rs9500087 has 2 allele(s)
marker rs6909720 has 2 allele(s)
marker rs1269287 has 2 allele(s)
marker rs6919641 has 2 allele(s)
marker rs4946673 has 2 allele(s)
marker rs714530 has 2 allele(s)
marker rs2027873 has 2 allele(s)
marker rs4440505 has 2 allele(s)
marker rs2895618 has 2 allele(s)
marker rs11966261 has 2 allele(s)
marker rs13437093 has 2 allele(s)
marker rs4568493 has 2 allele(s)
marker rs9386492 has 2 allele(s)
marker rs11152943 has 2 allele(s)
marker rs9480625 has 2 allele(s)
marker rs6925611 has 2 allele(s)
marker rs535490 has 2 allele(s)
marker rs9398069 has 2 allele(s)
marker rs1322178 has 2 allele(s)
marker rs17251215 has 2 allele(s)
marker rs2749083 has 2 allele(s)
marker rs987377 has 2 allele(s)
marker rs927016 has 2 allele(s)
marker rs6905896 has 2 allele(s)
marker rs6925883 has 2 allele(s)
marker rs7760555 has 2 allele(s)
marker rs1159148 has 2 allele(s)
marker rs898898 has 2 allele(s)
marker rs3127660 has 2 allele(s)
marker rs6915445 has 2 allele(s)
marker rs1022630 has 2 allele(s)
marker rs3117418 has 2 allele(s)
marker rs3099605 has 2 allele(s)
marker rs311232 has 2 allele(s)
marker rs6568468 has 2 allele(s)
marker rs17068076 has 2 allele(s)
marker rs7745716 has 2 allele(s)
marker rs6940398 has 2 allele(s)
marker rs9373956 has 2 allele(s)
marker rs847003 has 2 allele(s)
marker rs1728118 has 2 allele(s)
marker rs6934505 has 2 allele(s)
