************************************************************************
* Output from:                                Mon May 13 10:32:48 2013 *
*                                                                      *
*        GENEHUNTER-MODSCORE - A modified version of GENEHUNTER        *
*                             (version 3.0)                            *
*                                                                      *
************************************************************************

'photo' is on: file is 'gh_10.out'

npl:2> load markers datain_10.06
Parsing Linkage marker data file...
marker rs2185276 has 2 allele(s)
marker rs6922464 has 2 allele(s)
marker rs1221934 has 2 allele(s)
marker rs270309 has 2 allele(s)
marker rs1674729 has 2 allele(s)
marker rs4493751 has 2 allele(s)
marker rs9479664 has 2 allele(s)
marker rs1937600 has 2 allele(s)
marker rs2350402 has 2 allele(s)
marker rs7745695 has 2 allele(s)
marker rs660756 has 2 allele(s)
marker rs9383693 has 2 allele(s)
marker rs6935927 has 2 allele(s)
marker rs6930716 has 2 allele(s)
marker rs2092417 has 2 allele(s)
marker rs742517 has 2 allele(s)
marker rs9479825 has 2 allele(s)
marker rs1933685 has 2 allele(s)
marker rs7745077 has 2 allele(s)
marker rs2185112 has 2 allele(s)
marker rs12194277 has 2 allele(s)
marker rs6911971 has 2 allele(s)
marker rs17085526 has 2 allele(s)
marker rs9371822 has 2 allele(s)
marker rs9479954 has 2 allele(s)
marker rs6557385 has 2 allele(s)
marker rs6934056 has 2 allele(s)
marker rs7745332 has 2 allele(s)
marker rs9322494 has 2 allele(s)
marker rs7746011 has 2 allele(s)
marker rs7774757 has 2 allele(s)
marker rs11156008 has 2 allele(s)
marker rs9397228 has 2 allele(s)
marker rs6905473 has 2 allele(s)
marker rs6919431 has 2 allele(s)
marker rs6557409 has 2 allele(s)
marker rs1408756 has 2 allele(s)
marker rs335405 has 2 allele(s)
marker rs13207865 has 2 allele(s)
marker rs231957 has 2 allele(s)
marker rs6919626 has 2 allele(s)
marker rs7738860 has 2 allele(s)
marker rs11755068 has 2 allele(s)
marker rs4407725 has 2 allele(s)
marker rs4128674 has 2 allele(s)
marker rs9371930 has 2 allele(s)
marker rs9371932 has 2 allele(s)
marker rs9397861 has 2 allele(s)
marker rs9383788 has 2 allele(s)
marker rs1349239 has 2 allele(s)
marker rs2354391 has 2 allele(s)
marker rs4394225 has 2 allele(s)
marker rs17187232 has 2 allele(s)
marker rs6557482 has 2 allele(s)
marker rs4382278 has 2 allele(s)
marker rs9480304 has 2 allele(s)
marker rs7739135 has 2 allele(s)
marker rs4429960 has 2 allele(s)
marker rs9371428 has 2 allele(s)
marker rs2603433 has 2 allele(s)
marker rs2493701 has 2 allele(s)
marker rs9480347 has 2 allele(s)
marker rs1022984 has 2 allele(s)
marker rs9397956 has 2 allele(s)
marker rs4870483 has 2 allele(s)
marker rs11961360 has 2 allele(s)
marker rs6906983 has 2 allele(s)
marker rs7770280 has 2 allele(s)
marker rs3734440 has 2 allele(s)
marker rs12211307 has 2 allele(s)
marker rs1007250 has 2 allele(s)
marker rs602890 has 2 allele(s)
marker rs675658 has 2 allele(s)
marker rs9458301 has 2 allele(s)
marker rs1864500 has 2 allele(s)
marker rs928008 has 2 allele(s)
marker rs2746217 has 2 allele(s)
marker rs10455934 has 2 allele(s)
marker rs2295893 has 2 allele(s)
marker rs1009014 has 2 allele(s)
marker rs662185 has 2 allele(s)
marker rs4710078 has 2 allele(s)
marker rs827977 has 2 allele(s)
marker rs2083587 has 2 allele(s)
marker rs9457413 has 2 allele(s)
marker rs9457437 has 2 allele(s)
marker rs6933401 has 2 allele(s)
marker rs7746144 has 2 allele(s)
marker rs9457509 has 2 allele(s)
marker rs12662184 has 2 allele(s)
marker rs1738074 has 2 allele(s)
marker rs3120629 has 2 allele(s)
marker rs7765276 has 2 allele(s)
marker rs2485328 has 2 allele(s)
marker rs449602 has 2 allele(s)
marker rs6455633 has 2 allele(s)
marker rs6455639 has 2 allele(s)
marker rs4709326 has 2 allele(s)
marker rs9355736 has 2 allele(s)
marker rs10945617 has 2 allele(s)
marker rs7755526 has 2 allele(s)
marker rs4709364 has 2 allele(s)
marker rs6924573 has 2 allele(s)
marker rs1003737 has 2 allele(s)
marker rs4709390 has 2 allele(s)
marker rs920812 has 2 allele(s)
marker rs622342 has 2 allele(s)
marker rs2083867 has 2 allele(s)
marker rs596881 has 2 allele(s)
marker rs316029 has 2 allele(s)
marker rs437865 has 2 allele(s)
marker rs1367211 has 2 allele(s)
marker rs7767705 has 2 allele(s)
marker rs9295131 has 2 allele(s)
marker rs2489944 has 2 allele(s)
marker rs590884 has 2 allele(s)
marker rs1562026 has 2 allele(s)
marker rs10945713 has 2 allele(s)
marker rs2064721 has 2 allele(s)
marker rs7738367 has 2 allele(s)
marker rs3823058 has 2 allele(s)
marker rs1077281 has 2 allele(s)
marker rs9347493 has 2 allele(s)
marker rs9458225 has 2 allele(s)
marker rs7766508 has 2 allele(s)
marker rs6455728 has 2 allele(s)
marker rs11968360 has 2 allele(s)
marker rs6903203 has 2 allele(s)
marker rs9456676 has 2 allele(s)
marker rs480557 has 2 allele(s)
marker rs6910938 has 2 allele(s)
marker rs9364605 has 2 allele(s)
marker rs6455744 has 2 allele(s)
marker rs9347532 has 2 allele(s)
marker rs6921226 has 2 allele(s)
marker rs4708928 has 2 allele(s)
marker rs7760443 has 2 allele(s)
marker rs3016538 has 2 allele(s)
marker rs9347543 has 2 allele(s)
marker rs12111115 has 2 allele(s)
marker rs6909000 has 2 allele(s)
marker rs12111075 has 2 allele(s)
marker rs9347564 has 2 allele(s)
marker rs1954916 has 2 allele(s)
marker rs1893551 has 2 allele(s)
marker rs713053 has 2 allele(s)
marker rs10945802 has 2 allele(s)
marker rs9346906 has 2 allele(s)
marker rs4392700 has 2 allele(s)
marker rs10945816 has 2 allele(s)
marker rs4709612 has 2 allele(s)
marker rs7740031 has 2 allele(s)
marker rs6908330 has 2 allele(s)
marker rs10945861 has 2 allele(s)
marker rs9346937 has 2 allele(s)
marker rs1828819 has 2 allele(s)
marker rs9347707 has 2 allele(s)
marker rs577398 has 2 allele(s)
marker rs566126 has 2 allele(s)
marker rs2235993 has 2 allele(s)
marker rs1022611 has 2 allele(s)
marker rs6916948 has 2 allele(s)
marker rs1555064 has 2 allele(s)
marker rs4709696 has 2 allele(s)
marker rs6903758 has 2 allele(s)
marker rs4709704 has 2 allele(s)
marker rs1629251 has 2 allele(s)
marker rs4709725 has 2 allele(s)
marker rs6933936 has 2 allele(s)
marker rs4709737 has 2 allele(s)
marker rs9458886 has 2 allele(s)
marker rs12199352 has 2 allele(s)
marker rs13215377 has 2 allele(s)
marker rs11755754 has 2 allele(s)
marker rs1040644 has 2 allele(s)
marker rs7775629 has 2 allele(s)
marker rs9456909 has 2 allele(s)
marker rs7754718 has 2 allele(s)
marker rs9458967 has 2 allele(s)
marker rs4709819 has 2 allele(s)
marker rs4709823 has 2 allele(s)
marker rs9356186 has 2 allele(s)
marker rs9459017 has 2 allele(s)
marker rs9356192 has 2 allele(s)
marker rs814255 has 2 allele(s)
marker rs1496118 has 2 allele(s)
marker rs9356221 has 2 allele(s)
marker rs7760143 has 2 allele(s)
marker rs6919146 has 2 allele(s)
marker rs4709871 has 2 allele(s)
marker rs968009 has 2 allele(s)
marker rs996301 has 2 allele(s)
marker rs11754642 has 2 allele(s)
marker rs3967133 has 2 allele(s)
marker rs1322193 has 2 allele(s)
marker rs9347988 has 2 allele(s)
marker rs894240 has 2 allele(s)
marker rs6923393 has 2 allele(s)
marker rs4709927 has 2 allele(s)
marker rs533040 has 2 allele(s)
sex averaged recombination frequencies are being used
Map distances have been interpreted as recombination fractions.
In the following, genetic distances will be given in cM units.

200 markers read from Linkage marker data file (last one = rs533040)
The selected markers and their positions can be found in the file
'user_markers_in_map'.

npl:3> use
Current map (200 markers):
rs2185276 0.2114 rs6922464 0.1937 rs1221934 0.0583 rs270309 0.0551 rs1674729 0.1231 rs4493751 0.0535 rs9479664 0.1313 rs1937600 0.0500 rs2350402 0.0678 rs7745695 0.0650 rs660756 0.2444 rs9383693 0.0562 rs6935927 0.0666 rs6930716 0.0676 rs2092417 0.0631 rs742517 0.1601 rs9479825 0.0622 rs1933685 0.0561 rs7745077 0.1032 rs2185112 0.1136 rs12194277 0.1683 rs6911971 0.0783 rs17085526 0.1350 rs9371822 0.1258 rs9479954 0.1308 rs6557385 0.3202 rs6934056 0.0636 rs7745332 0.1323 rs9322494 0.1858 rs7746011
0.0853 rs7774757 0.0540 rs11156008 0.0645 rs9397228 0.0504 rs6905473 0.1483 rs6919431 0.0562 rs6557409 0.0690 rs1408756 0.0684 rs335405 0.1692 rs13207865 0.0578 rs231957 0.0530 rs6919626 0.0552 rs7738860 0.0615 rs11755068 0.0588 rs4407725 0.2481 rs4128674 0.0510 rs9371930 0.0627 rs9371932 0.0505 rs9397861 0.0931 rs9383788 0.1492 rs1349239 0.0816 rs2354391 0.0502 rs4394225 0.0549 rs17187232 0.0648 rs6557482 0.0526 rs4382278 0.2046 rs9480304 0.0531 rs7739135 0.0628 rs4429960 0.0698 rs9371428 0.1362
rs2603433 0.0512 rs2493701 0.0711 rs9480347 0.0731 rs1022984 0.0605 rs9397956 0.2309 rs4870483 0.0616 rs11961360 0.0578 rs6906983 0.0638 rs7770280 0.0846 rs3734440 0.0824 rs12211307 0.1238 rs1007250 0.6527 rs602890 0.0581 rs675658 0.0583 rs9458301 0.0704 rs1864500 0.1905 rs928008 0.2017 rs2746217 0.0864 rs10455934 0.0564 rs2295893 0.0549 rs1009014 0.0520 rs662185 0.0587 rs4710078 0.0546 rs827977 0.0746 rs2083587 0.0506 rs9457413 0.0516 rs9457437 0.0940 rs6933401 0.0583 rs7746144 0.0633 rs9457509
0.1118 rs12662184 0.0517 rs1738074 0.0507 rs3120629 0.1217 rs7765276 0.0646 rs2485328 0.1711 rs449602 0.0835 rs6455633 0.1373 rs6455639 0.0653 rs4709326 0.0671 rs9355736 0.1320 rs10945617 0.1729 rs7755526 0.0529 rs4709364 0.1295 rs6924573 0.0521 rs1003737 0.0513 rs4709390 0.0591 rs920812 0.0553 rs622342 0.1051 rs2083867 0.0813 rs596881 0.0521 rs316029 0.0560 rs437865 0.0744 rs1367211 0.0522 rs7767705 0.1204 rs9295131 0.0531 rs2489944 0.1765 rs590884 0.0534 rs1562026 0.0504 rs10945713 0.0565
rs2064721 0.0575 rs7738367 0.0529 rs3823058 0.2074 rs1077281 0.1627 rs9347493 0.0833 rs9458225 0.0793 rs7766508 0.3804 rs6455728 0.1335 rs11968360 0.0848 rs6903203 0.0772 rs9456676 0.0515 rs480557 0.0603 rs6910938 0.0695 rs9364605 0.0799 rs6455744 0.0537 rs9347532 0.1139 rs6921226 0.0624 rs4708928 0.1276 rs7760443 0.1198 rs3016538 0.0686 rs9347543 0.1177 rs12111115 0.0732 rs6909000 0.0905 rs12111075 0.2147 rs9347564 0.0603 rs1954916 0.0763 rs1893551 0.1346 rs713053 0.1550 rs10945802 0.1444
