************************************************************************
* Output from:                                Mon May 13 10:32:32 2013 *
*                                                                      *
*        GENEHUNTER-MODSCORE - A modified version of GENEHUNTER        *
*                             (version 3.0)                            *
*                                                                      *
************************************************************************

'photo' is on: file is 'gh_2.out'

npl:2> load markers datain_2.06
Parsing Linkage marker data file...
marker rs197123 has 2 allele(s)
marker rs9379163 has 2 allele(s)
marker rs11243239 has 2 allele(s)
marker rs491511 has 2 allele(s)
marker rs9505400 has 2 allele(s)
marker rs9392985 has 2 allele(s)
marker rs1591996 has 2 allele(s)
marker rs10484750 has 2 allele(s)
marker rs850170 has 2 allele(s)
marker rs7765012 has 2 allele(s)
marker rs9393069 has 2 allele(s)
marker rs4475363 has 2 allele(s)
marker rs4246086 has 2 allele(s)
marker rs9379274 has 2 allele(s)
marker rs11243295 has 2 allele(s)
marker rs12205137 has 2 allele(s)
marker rs1324546 has 2 allele(s)
marker rs1830947 has 2 allele(s)
marker rs7746692 has 2 allele(s)
marker rs2209543 has 2 allele(s)
marker rs2017505 has 2 allele(s)
marker rs7757300 has 2 allele(s)
marker rs1328134 has 2 allele(s)
marker rs1206919 has 2 allele(s)
marker rs6459434 has 2 allele(s)
marker rs9396752 has 2 allele(s)
marker rs201267 has 2 allele(s)
marker rs855397 has 2 allele(s)
marker rs855394 has 2 allele(s)
marker rs4716306 has 2 allele(s)
marker rs6899499 has 2 allele(s)
marker rs1029124 has 2 allele(s)
marker rs6900553 has 2 allele(s)
marker rs1023276 has 2 allele(s)
marker rs12209059 has 2 allele(s)
marker rs9465973 has 2 allele(s)
marker rs3818408 has 2 allele(s)
marker rs1621700 has 2 allele(s)
marker rs9348513 has 2 allele(s)
marker rs3889361 has 2 allele(s)
marker rs502431 has 2 allele(s)
marker rs1226013 has 2 allele(s)
marker rs504083 has 2 allele(s)
marker rs7755748 has 2 allele(s)
marker rs4712802 has 2 allele(s)
marker rs529124 has 2 allele(s)
marker rs478791 has 2 allele(s)
marker rs6456719 has 2 allele(s)
marker rs4711127 has 2 allele(s)
marker rs13214666 has 2 allele(s)
marker rs3798727 has 2 allele(s)
marker rs2182336 has 2 allele(s)
marker rs9393992 has 2 allele(s)
marker rs11964334 has 2 allele(s)
marker rs9791189 has 2 allele(s)
marker rs4713432 has 2 allele(s)
marker rs3798752 has 2 allele(s)
marker rs9461735 has 2 allele(s)
marker rs9469223 has 2 allele(s)
marker rs471693 has 2 allele(s)
marker rs549655 has 2 allele(s)
marker rs3734273 has 2 allele(s)
marker rs6903956 has 2 allele(s)
marker rs2235384 has 2 allele(s)
marker rs4713922 has 2 allele(s)
marker rs9368918 has 2 allele(s)
marker rs9357221 has 2 allele(s)
marker rs169713 has 2 allele(s)
marker rs1570989 has 2 allele(s)
marker rs10947819 has 2 allele(s)
marker rs4714268 has 2 allele(s)
marker rs219988 has 2 allele(s)
marker rs7749495 has 2 allele(s)
marker rs9394696 has 2 allele(s)
marker rs9380978 has 2 allele(s)
marker rs9381015 has 2 allele(s)
marker rs1931550 has 2 allele(s)
marker rs6458229 has 2 allele(s)
marker rs7740766 has 2 allele(s)
marker rs4714604 has 2 allele(s)
marker rs12199205 has 2 allele(s)
marker rs6920298 has 2 allele(s)
marker rs6927364 has 2 allele(s)
marker rs519167 has 2 allele(s)
marker rs475543 has 2 allele(s)
marker rs6458461 has 2 allele(s)
marker rs12528956 has 2 allele(s)
marker rs7454157 has 2 allele(s)
marker rs6922782 has 2 allele(s)
marker rs9463377 has 2 allele(s)
marker rs1223521 has 2 allele(s)
marker rs6458720 has 2 allele(s)
marker rs1512414 has 2 allele(s)
marker rs2496132 has 2 allele(s)
marker rs497505 has 2 allele(s)
marker rs536916 has 2 allele(s)
marker rs551499 has 2 allele(s)
marker rs4712032 has 2 allele(s)
marker rs4715451 has 2 allele(s)
marker rs4715562 has 2 allele(s)
marker rs6899735 has 2 allele(s)
marker rs2274088 has 2 allele(s)
marker rs9382889 has 2 allele(s)
marker rs9476476 has 2 allele(s)
marker rs2092204 has 2 allele(s)
marker rs853372 has 2 allele(s)
marker rs853346 has 2 allele(s)
marker rs2094923 has 2 allele(s)
marker rs7752155 has 2 allele(s)
marker rs737548 has 2 allele(s)
marker rs9476543 has 2 allele(s)
marker rs9367837 has 2 allele(s)
marker rs9396503 has 2 allele(s)
marker rs9370770 has 2 allele(s)
marker rs7747013 has 2 allele(s)
marker rs764650 has 2 allele(s)
marker rs9476648 has 2 allele(s)
marker rs2500081 has 2 allele(s)
marker rs233494 has 2 allele(s)
marker rs6908102 has 2 allele(s)
marker rs6902553 has 2 allele(s)
marker rs2179990 has 2 allele(s)
marker rs6941421 has 2 allele(s)
marker rs9464779 has 2 allele(s)
marker rs13195345 has 2 allele(s)
marker rs2235258 has 2 allele(s)
marker rs2031819 has 2 allele(s)
marker rs1109287 has 2 allele(s)
marker rs522264 has 2 allele(s)
marker rs9296994 has 2 allele(s)
marker rs1891518 has 2 allele(s)
marker rs10498686 has 2 allele(s)
marker rs7767544 has 2 allele(s)
marker rs6459448 has 2 allele(s)
marker rs3757354 has 2 allele(s)
marker rs7742617 has 2 allele(s)
marker rs7748814 has 2 allele(s)
marker rs179993 has 2 allele(s)
marker rs2237217 has 2 allele(s)
marker rs404143 has 2 allele(s)
marker rs10484363 has 2 allele(s)
marker rs2299088 has 2 allele(s)
marker rs9396682 has 2 allele(s)
marker rs9477166 has 2 allele(s)
marker rs236981 has 2 allele(s)
marker rs2299070 has 2 allele(s)
marker rs1359067 has 2 allele(s)
marker rs666215 has 2 allele(s)
marker rs707848 has 2 allele(s)
marker rs623897 has 2 allele(s)
marker rs602206 has 2 allele(s)
marker rs1150644 has 2 allele(s)
marker rs927366 has 2 allele(s)
marker rs7755677 has 2 allele(s)
marker rs4360123 has 2 allele(s)
marker rs6914177 has 2 allele(s)
marker rs13217920 has 2 allele(s)
marker rs12216482 has 2 allele(s)
marker rs7773313 has 2 allele(s)
marker rs1555111 has 2 allele(s)
marker rs10807611 has 2 allele(s)
marker rs6925145 has 2 allele(s)
marker rs7743695 has 2 allele(s)
marker rs4712311 has 2 allele(s)
marker rs7766167 has 2 allele(s)
marker rs4294009 has 2 allele(s)
marker rs214596 has 2 allele(s)
marker rs214506 has 2 allele(s)
marker rs1408263 has 2 allele(s)
marker rs4716273 has 2 allele(s)
marker rs1474618 has 2 allele(s)
marker rs9477837 has 2 allele(s)
marker rs6911193 has 2 allele(s)
marker rs9368028 has 2 allele(s)
marker rs9366275 has 2 allele(s)
marker rs9465274 has 2 allele(s)
marker rs6911832 has 2 allele(s)
marker rs6905315 has 2 allele(s)
marker rs4235993 has 2 allele(s)
marker rs760669 has 2 allele(s)
marker rs2328483 has 2 allele(s)
marker rs17547028 has 2 allele(s)
marker rs9465498 has 2 allele(s)
marker rs1047033 has 2 allele(s)
marker rs11754400 has 2 allele(s)
marker rs2328421 has 2 allele(s)
marker rs499899 has 2 allele(s)
marker rs562646 has 2 allele(s)
marker rs602640 has 2 allele(s)
marker rs9348410 has 2 allele(s)
marker rs16883364 has 2 allele(s)
marker rs1202196 has 2 allele(s)
marker rs586124 has 2 allele(s)
marker rs9465656 has 2 allele(s)
marker rs7746765 has 2 allele(s)
marker rs1887476 has 2 allele(s)
marker rs2208438 has 2 allele(s)
marker rs1570155 has 2 allele(s)
marker rs746720 has 2 allele(s)
marker rs11964747 has 2 allele(s)
sex averaged recombination frequencies are being used
Map distances have been interpreted as recombination fractions.
In the following, genetic distances will be given in cM units.

200 markers read from Linkage marker data file (last one = rs11964747)
The selected markers and their positions can be found in the file
'user_markers_in_map'.

npl:3> use
Current map (200 markers):
rs197123 0.0774 rs9379163 0.0502 rs11243239 0.0727 rs491511 0.0907 rs9505400 0.2070 rs9392985 0.0957 rs1591996 0.1016 rs10484750 0.0556 rs850170 0.1629 rs7765012 0.1184 rs9393069 0.1510 rs4475363 0.0621 rs4246086 0.0512 rs9379274 0.1801 rs11243295 0.0839 rs12205137 0.3438 rs1324546 0.3319 rs1830947 0.0555 rs7746692 0.0527 rs2209543 0.0574 rs2017505 0.1842 rs7757300 0.1066 rs1328134 0.0542 rs1206919 0.1078 rs6459434 0.0555 rs9396752 0.0548 rs201267 0.0562 rs855397 0.0670 rs855394 0.0782 rs4716306
0.3238 rs6899499 0.0658 rs1029124 0.0580 rs6900553 0.1881 rs1023276 0.0748 rs12209059 0.0514 rs9465973 0.1017 rs3818408 0.1024 rs1621700 0.0796 rs9348513 0.0735 rs3889361 0.0618 rs502431 0.0685 rs1226013 0.0631 rs504083 0.0920 rs7755748 0.0736 rs4712802 0.1120 rs529124 0.0526 rs478791 0.0870 rs6456719 0.0842 rs4711127 0.1729 rs13214666 0.0670 rs3798727 0.0530 rs2182336 0.1772 rs9393992 0.2327 rs11964334 0.0541 rs9791189 0.1701 rs4713432 0.0878 rs3798752 0.0615 rs9461735 0.0559 rs9469223 0.0934
