************************************************************************
* Output from:                                Mon May 13 10:32:34 2013 *
*                                                                      *
*        GENEHUNTER-MODSCORE - A modified version of GENEHUNTER        *
*                             (version 3.0)                            *
*                                                                      *
************************************************************************

'photo' is on: file is 'gh_3.out'

npl:2> load markers datain_3.06
Parsing Linkage marker data file...
marker rs11964747 has 2 allele(s)
marker rs6904566 has 2 allele(s)
marker rs7756992 has 2 allele(s)
marker rs9465874 has 2 allele(s)
marker rs7775523 has 2 allele(s)
marker rs201301 has 2 allele(s)
marker rs9358391 has 2 allele(s)
marker rs9465991 has 2 allele(s)
marker rs4710966 has 2 allele(s)
marker rs12202180 has 2 allele(s)
marker rs807846 has 2 allele(s)
marker rs12192730 has 2 allele(s)
marker rs6920208 has 2 allele(s)
marker rs6904446 has 2 allele(s)
marker rs4236005 has 2 allele(s)
marker rs1744867 has 2 allele(s)
marker rs1555529 has 2 allele(s)
marker rs9358448 has 2 allele(s)
marker rs17198823 has 2 allele(s)
marker rs4712642 has 2 allele(s)
marker rs12524124 has 2 allele(s)
marker rs13212670 has 2 allele(s)
marker rs11755535 has 2 allele(s)
marker rs867863 has 2 allele(s)
marker rs610499 has 2 allele(s)
marker rs196038 has 2 allele(s)
marker rs9466269 has 2 allele(s)
marker rs4712661 has 2 allele(s)
marker rs7749084 has 2 allele(s)
marker rs9368429 has 2 allele(s)
marker rs16885931 has 2 allele(s)
marker rs2066266 has 2 allele(s)
marker rs1205960 has 2 allele(s)
marker rs2744143 has 2 allele(s)
marker rs10456256 has 2 allele(s)
marker rs9460748 has 2 allele(s)
marker rs6934462 has 2 allele(s)
marker rs11752967 has 2 allele(s)
marker rs7752736 has 2 allele(s)
marker rs4510658 has 2 allele(s)
marker rs1018401 has 2 allele(s)
marker rs2254032 has 2 allele(s)
marker rs4712728 has 2 allele(s)
marker rs13214549 has 2 allele(s)
marker rs13200541 has 2 allele(s)
marker rs9393377 has 2 allele(s)
marker rs7763770 has 2 allele(s)
marker rs9379482 has 2 allele(s)
marker rs7774358 has 2 allele(s)
marker rs9348557 has 2 allele(s)
marker rs9460868 has 2 allele(s)
marker rs6932335 has 2 allele(s)
marker rs943068 has 2 allele(s)
marker rs926453 has 2 allele(s)
marker rs199055 has 2 allele(s)
marker rs199107 has 2 allele(s)
marker rs197951 has 2 allele(s)
marker rs197979 has 2 allele(s)
marker rs197999 has 2 allele(s)
marker rs7742637 has 2 allele(s)
marker rs766978 has 2 allele(s)
marker rs9348611 has 2 allele(s)
marker rs474833 has 2 allele(s)
marker rs528715 has 2 allele(s)
marker rs573863 has 2 allele(s)
marker rs17529740 has 2 allele(s)
marker rs6933683 has 2 allele(s)
marker rs6924184 has 2 allele(s)
marker rs793839 has 2 allele(s)
marker rs12192603 has 2 allele(s)
marker rs1772253 has 2 allele(s)
marker rs2328824 has 2 allele(s)
marker rs12193738 has 2 allele(s)
marker rs4576240 has 2 allele(s)
marker rs1061925 has 2 allele(s)
marker rs9358796 has 2 allele(s)
marker rs9379692 has 2 allele(s)
marker rs4437459 has 2 allele(s)
marker rs606162 has 2 allele(s)
marker rs396599 has 2 allele(s)
marker rs303898 has 2 allele(s)
marker rs6941417 has 2 allele(s)
marker rs13198274 has 2 allele(s)
marker rs769108 has 2 allele(s)
marker rs16890377 has 2 allele(s)
marker rs2206194 has 2 allele(s)
marker rs6912426 has 2 allele(s)
marker rs9461167 has 2 allele(s)
marker rs301395 has 2 allele(s)
marker rs7765813 has 2 allele(s)
marker rs4409177 has 2 allele(s)
marker rs9393672 has 2 allele(s)
marker rs2237231 has 2 allele(s)
marker rs9379827 has 2 allele(s)
marker rs7773004 has 2 allele(s)
marker rs9461245 has 2 allele(s)
marker rs12205310 has 2 allele(s)
marker rs858972 has 2 allele(s)
marker rs2235232 has 2 allele(s)
marker rs9295750 has 2 allele(s)
marker rs1150704 has 2 allele(s)
marker rs2859356 has 2 allele(s)
marker rs1233602 has 2 allele(s)
marker rs720831 has 2 allele(s)
marker rs1362073 has 2 allele(s)
marker rs388234 has 2 allele(s)
marker rs3131854 has 2 allele(s)
marker rs2735048 has 2 allele(s)
marker rs9258631 has 2 allele(s)
marker rs2735085 has 2 allele(s)
marker rs4313034 has 2 allele(s)
marker rs3132123 has 2 allele(s)
marker rs3132659 has 2 allele(s)
marker rs1264551 has 2 allele(s)
marker rs1264423 has 2 allele(s)
marker rs2394401 has 2 allele(s)
marker rs2517580 has 2 allele(s)
marker rs9368649 has 2 allele(s)
marker rs6457300 has 2 allele(s)
marker rs6917517 has 2 allele(s)
marker rs3094663 has 2 allele(s)
marker rs6928399 has 2 allele(s)
marker rs9394047 has 2 allele(s)
marker rs3873386 has 2 allele(s)
marker rs2844571 has 2 allele(s)
marker rs1051794 has 2 allele(s)
marker rs2596449 has 2 allele(s)
marker rs2239709 has 2 allele(s)
marker rs2857697 has 2 allele(s)
marker rs9267677 has 2 allele(s)
marker rs3134608 has 2 allele(s)
marker rs9378123 has 2 allele(s)
marker rs2894239 has 2 allele(s)
marker rs9268403 has 2 allele(s)
marker rs3129868 has 2 allele(s)
marker rs9270986 has 2 allele(s)
marker rs6457617 has 2 allele(s)
marker rs6935940 has 2 allele(s)
marker rs9276644 has 2 allele(s)
marker rs3819715 has 2 allele(s)
marker rs6457688 has 2 allele(s)
marker rs154972 has 2 allele(s)
marker rs23544 has 2 allele(s)
marker rs2395300 has 2 allele(s)
marker rs9277027 has 2 allele(s)
marker rs422544 has 2 allele(s)
marker rs2395349 has 2 allele(s)
marker rs1003979 has 2 allele(s)
marker rs457565 has 2 allele(s)
marker rs7748370 has 2 allele(s)
marker rs420361 has 2 allele(s)
marker rs6935686 has 2 allele(s)
marker rs11759011 has 2 allele(s)
marker rs1535948 has 2 allele(s)
marker rs9296100 has 2 allele(s)
marker rs6926872 has 2 allele(s)
