************************************************************************
* Output from:                                Mon May 13 10:32:38 2013 *
*                                                                      *
*        GENEHUNTER-MODSCORE - A modified version of GENEHUNTER        *
*                             (version 3.0)                            *
*                                                                      *
************************************************************************

'photo' is on: file is 'gh_5.out'

npl:2> load markers datain_5.06
Parsing Linkage marker data file...
marker rs1896967 has 2 allele(s)
marker rs1413917 has 2 allele(s)
marker rs8193037 has 2 allele(s)
marker rs12201582 has 2 allele(s)
marker rs472589 has 2 allele(s)
marker rs6912417 has 2 allele(s)
marker rs10456660 has 2 allele(s)
marker rs4715307 has 2 allele(s)
marker rs7746685 has 2 allele(s)
marker rs723815 has 2 allele(s)
marker rs2180312 has 2 allele(s)
marker rs13215455 has 2 allele(s)
marker rs668163 has 2 allele(s)
marker rs10456664 has 2 allele(s)
marker rs11962677 has 2 allele(s)
marker rs17608022 has 2 allele(s)
marker rs2816346 has 2 allele(s)
marker rs10484663 has 2 allele(s)
marker rs9474466 has 2 allele(s)
marker rs934147 has 2 allele(s)
marker rs12209741 has 2 allele(s)
marker rs1467408 has 2 allele(s)
marker rs2397146 has 2 allele(s)
marker rs510088 has 2 allele(s)
marker rs7738142 has 2 allele(s)
marker rs809942 has 2 allele(s)
marker rs676965 has 2 allele(s)
marker rs12210809 has 2 allele(s)
marker rs9370225 has 2 allele(s)
marker rs4715416 has 2 allele(s)
marker rs3001006 has 2 allele(s)
marker rs9370251 has 2 allele(s)
marker rs12206659 has 2 allele(s)
marker rs9382278 has 2 allele(s)
marker rs499594 has 2 allele(s)
marker rs2136136 has 2 allele(s)
marker rs3907818 has 2 allele(s)
marker rs9367581 has 2 allele(s)
marker rs10484986 has 2 allele(s)
marker rs2135760 has 2 allele(s)
marker rs7453866 has 2 allele(s)
marker rs12209485 has 2 allele(s)
marker rs3122156 has 2 allele(s)
marker rs958626 has 2 allele(s)
marker rs3942865 has 2 allele(s)
marker rs1472641 has 2 allele(s)
marker rs4236134 has 2 allele(s)
marker rs11754509 has 2 allele(s)
marker rs2498529 has 2 allele(s)
marker rs12174118 has 2 allele(s)
marker rs3798818 has 2 allele(s)
